"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2020","2,012.33","2,040.23","2,044.93","2,012.26","5.61B","-0.06%"
"Jul 03, 2020","2,013.48","2,023.10","2,027.58","2,010.45","4.92B","-0.25%"
"Jul 02, 2020","2,018.61","1,989.75","2,022.67","1,983.73","3.23B","2.14%"
"Jul 01, 2020","1,976.29","1,969.63","1,977.19","1,945.31","3.27B","0.88%"
"Jun 30, 2020","1,959.01","1,968.84","1,980.18","1,959.01","2.94M","0.75%"
"Jun 29, 2020","1,944.37","1,927.83","1,944.42","1,915.40","2.50B","0.02%"
"Jun 26, 2020","1,943.90","1,953.07","1,965.60","1,939.10","2.46B","0.33%"
"Jun 25, 2020","1,937.53","1,923.66","1,938.57","1,906.41","3.70B","-0.54%"
"Jun 24, 2020","1,948.06","1,994.31","1,999.43","1,947.59","3.73B","-1.88%"
"Jun 23, 2020","1,985.42","1,990.09","1,994.07","1,976.63","2.89B","0.38%"
"Jun 22, 2020","1,977.83","1,989.16","2,004.15","1,970.56","3.45B","-1.48%"
"Jun 19, 2020","2,007.45","2,019.13","2,024.77","2,003.27","3.50B","-0.29%"
"Jun 18, 2020","2,013.38","1,991.12","2,021.16","1,988.87","5.86B","-0.35%"
"Jun 17, 2020","2,020.42","1,997.96","2,029.22","1,990.95","5.07B","0.68%"
"Jun 16, 2020","2,006.81","2,020.12","2,022.86","1,998.43","6.76B","2.18%"
"Jun 15, 2020","1,963.91","2,014.32","2,025.22","1,956.95","6.45B","-3.35%"
"Jun 12, 2020","2,032.00","1,995.82","2,039.23","1,988.17","8.69B","-1.13%"
"Jun 11, 2020","2,055.15","2,082.58","2,096.83","2,035.10","7.77B","-1.78%"
"Jun 10, 2020","2,092.39","2,088.82","2,101.13","2,064.56","3.88B","0.89%"
"Jun 09, 2020","2,074.03","2,123.95","2,140.46","2,062.78","5.60B","-2.41%"
"Jun 08, 2020","2,125.35","2,147.48","2,157.28","2,113.11","5.82B","0.04%"
"Jun 05, 2020","2,124.48","2,091.36","2,130.51","2,069.23","5.74B","1.93%"
"Jun 04, 2020","2,084.30","2,064.35","2,089.40","2,057.37","6.66B","2.85%"
"Jun 02, 2020","2,026.48","2,003.81","2,026.51","1,996.56","5.00B","1.89%"
"Jun 01, 2020","1,988.88","1,994.57","2,005.52","1,983.03","5.44B","0.72%"
"May 29, 2020","1,974.61","1,955.09","1,974.81","1,938.63","5.83B","0.70%"
"May 28, 2020","1,960.86","1,992.41","1,995.63","1,960.86","4.18B","-0.70%"
"May 27, 2020","1,974.78","1,963.55","1,975.71","1,946.37","4.74B","0.74%"
"May 26, 2020","1,960.27","1,961.75","1,977.66","1,954.85","5.65B","1.22%"
"May 25, 2020","1,936.70","1,917.37","1,941.43","1,907.39","4.54B","1.33%"
"May 22, 2020","1,911.21","1,919.66","1,922.61","1,883.78","3.74B","-1.46%"
"May 21, 2020","1,939.50","1,955.71","1,959.92","1,929.34","3.88B","-0.11%"
"May 20, 2020","1,941.71","1,924.54","1,941.73","1,917.17","3.94B","0.99%"
"May 19, 2020","1,922.60","1,924.01","1,938.19","1,914.78","3.87B","1.99%"
"May 18, 2020","1,885.02","1,891.17","1,901.40","1,880.08","2.96B","0.52%"
"May 15, 2020","1,875.19","1,886.93","1,890.25","1,872.63","2.47B","-0.06%"
"May 14, 2020","1,876.37","1,886.50","1,893.20","1,869.35","2.91B","-1.29%"
"May 13, 2020","1,900.80","1,905.49","1,915.99","1,894.11","3.03B","-0.54%"
"May 12, 2020","1,911.06","1,888.55","1,916.11","1,884.80","2.77B","1.02%"
"May 11, 2020","1,891.72","1,876.85","1,903.51","1,875.34","2.70B","1.81%"
"May 08, 2020","1,858.03","1,858.50","1,866.70","1,842.12","2.26B","0.68%"
"May 07, 2020","1,845.47","1,868.73","1,874.67","1,835.28","3.18B","-1.64%"
"May 05, 2020","1,876.24","1,889.62","1,894.15","1,874.44","2.76B","-1.94%"
"Apr 30, 2020","1,913.35","1,905.91","1,913.35","1,896.20","3.59B","1.81%"
"Apr 29, 2020","1,879.33","1,883.13","1,889.62","1,870.47","2.75B","0.50%"
"Apr 28, 2020","1,869.96","1,857.43","1,884.26","1,845.75","2.52B","0.70%"
"Apr 27, 2020","1,857.04","1,863.93","1,866.89","1,842.70","1.69B","0.74%"
"Apr 24, 2020","1,843.41","1,871.71","1,880.28","1,838.62","2.95B","-1.38%"
