time,open,high,low,close,Basis,Upper,Lower,VWAP,Volume,Volume MA,TRIX,ATR
2017-11-18T00:00:00Z,331.23,349.9,326.01,346.66,309.432,343.8534692,275.0105308,340.8566667,14361.4973,12476.97229,8.9559679,20.02695527
2017-11-19T00:00:00Z,346.66,373.56,343.07,354.15,311.777,351.2969839,272.2570161,356.9266667,19397.74898,12999.55372,12.162117,21.02343572
2017-11-20T00:00:00Z,355.15,372.5,353.9,367.42,314.903,361.0821261,268.7238739,364.6066667,18277.0194,13531.3841,15.90965391,20.79263232
2017-11-21T00:00:00Z,367.42,375.5,350.02,362.12,318.6585,367.3039694,270.0130306,362.5466667,26237.64398,14351.10797,19.82340251,21.23904829
2017-11-22T00:00:00Z,362.12,384.84,359,380.65,323.535,376.32944,270.74056,374.83,18121.58484,14585.99435,24.17448915,21.67723417
2017-11-23T00:00:00Z,380.63,425,370.02,405,328.581,391.3266315,265.8353685,400.0066667,25409.00111,15446.74268,29.25335779,24.84892615
2017-11-24T00:00:00Z,405.03,475,392.8,469,337.129,423.1620729,251.0959271,445.6,30398.35831,16575.23972,35.983935,30.31093319
2017-11-25T00:00:00Z,467.57,484.47,450,461.82,345.4435,444.8851398,246.0018602,465.43,21428.63117,17314.75022,43.60195161,30.70703479
2017-11-26T00:00:00Z,461,465,436.14,462.84,353.687,462.8770159,244.4969841,454.66,21691.11759,18023.53105,51.66449653,30.53112671
2017-11-27T00:00:00Z,462.84,486.94,453,472.31,362.7135,479.522475,245.904525,470.75,23761.11416,18740.65782,59.9811472,30.85578131
2017-11-28T00:00:00Z,472.32,477.5,453.5,466.17,370.871,492.5515001,249.1904999,465.7233333,23967.24816,19140.92734,68.10921332,30.20284976
2017-11-29T00:00:00Z,466.17,515,385,421.7,376.0625,497.1130418,255.0119582,440.5666667,51313.49571,21149.03715,74.96559218,39.70734026
2017-11-30T00:00:00Z,421.92,460,387.01,427.43,382.759,499.5420123,265.9759877,424.8133333,45184.22265,22628.39,80.75722389,42.87711738
2017-12-01T00:00:00Z,428.05,465.97,413.74,457.51,390.1335,506.2372852,274.0297148,445.74,33072.21995,23739.49286,86.13039897,43.7678681
2017-12-02T00:00:00Z,457.53,471.91,445,457.63,397.753,510.5254968,284.9805032,458.18,25796.14,23973.1422,90.9845884,42.16235685
2017-12-03T00:00:00Z,457.31,485.9,440.11,460.3,405.1185,513.9583176,296.2786824,462.1033333,24490.05997,24420.06148,95.30235718,42.50784668
2017-12-04T00:00:00Z,460.3,470.98,445,466.66,411.671,518.7483076,304.5936924,460.88,23090.46989,24689.12384,99.14901891,40.93376604
2017-12-05T00:00:00Z,466.6,468.67,445.21,453.64,417.7865,519.6555167,315.9174833,455.84,25419.35554,25180.23356,102.2186492,39.26959785
2017-12-06T00:00:00Z,452.88,455.1,400,411.04,421.764,515.7517674,327.7762326,422.0466667,38608.51155,26403.37329,103.6944006,40.77725519
2017-12-07T00:00:00Z,413,427.61,375.01,406.31,425.518,510.2871839,340.7488161,402.9766667,41343.30217,27568.43712,103.7625094,41.90323089
